"ANXA1 - 770
302/202
200nM
6/21/22","AREG - 262
302/478
200nM
6/21/22","BMP8B - 01A
302/824
200nM
6/21/22","CD48 - 007
725L/148
200nM
6/21/22","CLEC4A - M02
302/576
200nM
6/21/22","CLEC4A - M04
302/576
200nM
6/21/22"
"CNTF - 430
302/231
200nM
6/21/22","CNTF - 429
231L/148
200nM
6/21/22","CSF2 - 215
302/27
200nM
6/21/22","CSF2 - 615
302/27
200nM
6/21/22","CSF2 - m04
302/27
200nM
6/21/22","CSF2 - m06
302/27
200nM
6/21/22"
"CSF2 - 027
302/27
200nM
6/21/22","CSF2RB - 906
302/981
200nM
6/21/22","CSF2RB - M01
302/981
200nM
6/21/22","CSF2RB - 001
302/981
200nM
6/21/22","CSF3R - 381
302/982
200nM
6/21/22","CSF3R - 381
302/982
200nM
6/21/22"
"CSF3R - 811
302/982
200nM
6/21/22","CST7 - 04T
302/729
200nM
6/21/22","CST7 - P02
302/729
200nM
6/21/22","CST7 - 889
302/729
200nM
6/21/22","CTLA4 - 932
302/86
200nM
6/21/22","CTLA4 - M06
302/86
200nM
6/21/22"
"GDF1 - 937
302/815
200nM
6/21/22","GDF7 - 779
302/813
200nM
6/21/22","GDF9 - 536
302/829
200nM
6/21/22","GDF9 - 739
302/829
200nM
6/21/22","GDF9 - 266
302/829
200nM
6/21/22","GDF9 - 739
302/829
200nM
6/21/22"
"GDNF - 212
302/972
200nM
6/21/22","GDNF - 212
302/972
200nM
6/21/22","ICAM1 - 605
640L/148
200nM
6/21/22","ICAM1 - 623
302/640
200nM
6/21/22","IFNL3 - 259
302/799
200nM
6/21/22","ifnl3 - 91R
302/799
200nM
6/21/22"
"IFNL3 - M18
302/799
200nM
6/21/22","IFNL3 - 120
302/799
200nM
6/21/22","ifnl3 - 593
302/799
200nM
6/21/22","IFNL4 - 165
302/979
200nM
6/21/22","IL18BP - M02
302/450
200nM
6/21/22","IL18BP - 224
302/450
200nM
6/21/22"
"IL1A - 104
302/8
200nM
6/21/22","IL1A - 200
302/8
200nM
6/21/22","IL1A - M74
302/8
200nM
6/21/22","IL1A - 004
302/8
200nM
6/21/22","IL1RAP - 76R
302/984
200nM
6/21/22","IL1RAP - m04
302/984
200nM
6/21/22"
"IL1RAP - m05
302/984
200nM
6/21/22","IL20RA - 176
302/974
200nM
6/21/22","IL20RA - 762
302/974
200nM
6/21/22","IL20RA - M02
302/974
200nM
6/21/22","IL20RA - M06
302/974
200nM
6/21/22","IL20RA - 005
302/974
200nM
6/21/22"
"IL20RA - 024
302/974
200nM
6/21/22","IL20RA - 038
302/974
200nM
6/21/22","IL25 - 581
302/96
200nM
6/21/22","IL25 - 582
302/96
200nM
6/21/22","IL25 - 345
302/96
200nM
6/21/22","IL25 - 346
302/96
200nM
6/21/22"
"IL25 - 304
302/96
200nM
6/21/22","IL25 - 258
302/96
200nM
6/21/22","IL3 - M03
302/20
200nM
6/21/22","IL3 - m07
302/20
200nM
6/21/22","IL3 - m22
302/20
200nM
6/21/22","IL3 - m35
302/20
200nM
6/21/22"
"IL36G - 320
302/619
200nM
6/21/22","IL36G - 320
302/619
200nM
6/21/22","IL36G - M10
302/619
200nM
6/21/22","IL36G - T16
302/619
200nM
6/21/22","IL3RA - 064
646L/148
200nM
6/21/22","IL3RA - 958
302/646
200nM
6/21/22"
"INHA - 338
302/752
200nM
6/21/22","INHA - 681
302/752
200nM
6/21/22","INHBA - 024
302/753
200nM
6/21/22","INHBA - 381
302/753
200nM
6/21/22","INHBA - T34
302/753
200nM
6/21/22","INHBA - 105
302/753
200nM
6/21/22"
"KitLG - 004
676L/148
200nM
6/21/22","KITLG - 018
302/676
200nM
6/21/22","LEP - 602
302/515
200nM
6/21/22","LEP - 102
302/515
200nM
6/21/22","LEP - M03
302/515
200nM
6/21/22","LEP - 05T
302/515
200nM
6/21/22"
"LEP - 740
302/515
200nM
6/21/22","MICA - 920
302/618
200nM
6/21/22","MICA - 300
302/618
200nM
6/21/22","MICA - 001
302/618
200nM
6/21/22","MICA - 002
302/618
200nM
6/21/22","NODAL - 218
302/276
200nM
6/21/22"
"NODAL - 315
302/276
200nM
6/21/22","PDGFA - 211
302/548
200nM
6/21/22","TGFA - 239
302/761
200nM
6/21/22","TGFA - 012
302/761
200nM
6/21/22","TGFA - P01
302/761
200nM
6/21/22","TGFA - T16
302/761
200nM
6/21/22"
